condition,band_idx,r_min,logit_drop
clean,0,0.0,-0.07135105
clean,0,0.0,-0.28442097
clean,0,0.0,-0.29033756
clean,0,0.0,-0.064067364
clean,0,0.0,-0.032147884
clean,0,0.0,-0.833972
clean,0,0.0,0.22381401
clean,0,0.0,0.09189749
clean,0,0.0,0.33364153
clean,0,0.0,0.29485607
clean,0,0.0,0.28129482
clean,0,0.0,0.4038608
clean,0,0.0,0.058573723
clean,0,0.0,-0.1662867
clean,0,0.0,0.50576115
clean,0,0.0,0.3627267
clean,0,0.0,0.39966154
clean,0,0.0,-0.24169683
clean,0,0.0,-0.017545223
clean,0,0.0,0.052332878
clean,0,0.0,-0.2620349
clean,0,0.0,0.36093283
clean,0,0.0,0.6231289
clean,0,0.0,-0.272089
clean,0,0.0,0.013179779
clean,0,0.0,0.1761365
clean,0,0.0,0.6759684
clean,0,0.0,0.04309821
clean,0,0.0,0.01902318
clean,0,0.0,0.16799307
clean,0,0.0,0.5097656
clean,0,0.0,-0.29147434
clean,0,0.0,0.2679584
clean,0,0.0,-0.025726795
clean,0,0.0,0.3258431
clean,0,0.0,0.28136396
clean,0,0.0,0.1989181
clean,0,0.0,-0.2076211
clean,0,0.0,0.2752912
clean,0,0.0,0.18182755
clean,0,0.0,0.6164396
clean,0,0.0,-0.19341898
clean,0,0.0,0.023977757
clean,0,0.0,0.33210325
clean,0,0.0,-0.12858057
clean,0,0.0,0.33557796
clean,0,0.0,-0.11740875
clean,0,0.0,0.2462449
clean,0,0.0,0.22000074
clean,0,0.0,0.2186737
clean,0,0.0,0.2251916
clean,0,0.0,0.14873695
clean,0,0.0,-0.17591381
clean,0,0.0,0.08692312
clean,0,0.0,-0.11425352
clean,0,0.0,-0.00625062
clean,0,0.0,0.12593365
clean,0,0.0,0.16991997
clean,0,0.0,0.63395536
clean,0,0.0,-0.04801798
clean,0,0.0,-0.057619095
clean,0,0.0,-0.057175636
clean,0,0.0,1.2291973
clean,0,0.0,0.34398365
clean,0,0.0,0.11886501
clean,0,0.0,0.22770905
clean,0,0.0,0.024153233
clean,0,0.0,0.42062283
clean,0,0.0,-0.16702938
clean,0,0.0,0.18649912
clean,0,0.0,0.23735714
clean,0,0.0,0.013239384
clean,0,0.0,0.5734253
clean,0,0.0,0.5763922
clean,0,0.0,0.2605753
clean,0,0.0,-0.06800437
clean,0,0.0,0.08908534
clean,0,0.0,0.20912075
clean,0,0.0,0.25259686
clean,0,0.0,0.0175066
clean,0,0.0,0.02059865
clean,0,0.0,-0.15527916
clean,0,0.0,0.2375412
clean,0,0.0,0.16921449
clean,0,0.0,-0.96791625
clean,0,0.0,-0.39177322
clean,0,0.0,0.25829506
clean,0,0.0,0.30562878
clean,0,0.0,-0.23347902
clean,0,0.0,0.8710964
clean,0,0.0,-0.03955555
clean,0,0.0,0.21247816
clean,0,0.0,0.40901375
clean,0,0.0,0.18877792
clean,0,0.0,-0.25719643
clean,0,0.0,0.5952811
clean,0,0.0,-0.08033562
clean,0,0.0,-0.10859299
clean,0,0.0,-0.13430357
clean,0,0.0,0.3790121
clean,0,0.0,-0.34010947
clean,0,0.0,0.0057063103
clean,0,0.0,0.27941656
clean,0,0.0,-0.30637765
clean,0,0.0,0.17620993
clean,0,0.0,-0.50960255
clean,0,0.0,0.26305103
clean,0,0.0,-0.038725615
clean,0,0.0,-0.13927507
clean,0,0.0,-0.42302895
clean,0,0.0,-0.24712944
clean,0,0.0,-0.77949524
clean,0,0.0,-0.5552511
clean,0,0.0,-0.5824599
clean,0,0.0,-0.21726584
clean,0,0.0,-0.14515448
clean,0,0.0,-0.5281377
clean,0,0.0,-0.04717779
clean,0,0.0,-0.36745524
clean,0,0.0,-0.23016787
clean,0,0.0,-0.29535723
clean,0,0.0,-0.037204266
clean,0,0.0,-0.23441684
clean,0,0.0,-0.08625364
clean,0,0.0,-0.073367596
clean,0,0.0,-0.18034792
clean,0,0.0,0.3889346
clean,0,0.0,0.29111505
clean,0,0.0,0.35977054
clean,0,0.0,-0.28753185
clean,0,0.0,-0.692508
clean,0,0.0,-0.36644697
clean,0,0.0,-0.52469933
clean,0,0.0,-0.20372248
clean,0,0.0,-0.29394197
clean,0,0.0,-0.11262226
clean,0,0.0,-0.23926449
clean,0,0.0,0.07111931
clean,0,0.0,-1.4781952e-05
clean,0,0.0,0.025406837
clean,0,0.0,0.13122034
clean,0,0.0,0.20332241
clean,0,0.0,-0.15004301
clean,0,0.0,0.13821895
clean,0,0.0,-0.33857203
clean,0,0.0,-0.50805235
clean,0,0.0,-0.27359033
clean,0,0.0,-0.06098795
clean,0,0.0,-0.07489729
clean,0,0.0,-0.093299866
clean,0,0.0,0.5925126
clean,0,0.0,-0.45537877
clean,0,0.0,-0.27597284
clean,0,0.0,0.30771637
clean,0,0.0,-0.015077591
clean,0,0.0,0.28084898
clean,0,0.0,-0.15274453
clean,0,0.0,-0.24228334
clean,0,0.0,-0.2476356
clean,0,0.0,-0.0677433
clean,0,0.0,0.042504787
clean,0,0.0,0.10067797
clean,0,0.0,0.14335728
clean,0,0.0,-0.44631815
clean,0,0.0,0.20643377
clean,0,0.0,-0.010891914
clean,0,0.0,-0.3257537
clean,0,0.0,0.13065624
clean,0,0.0,-0.0035037994
clean,0,0.0,-0.52669597
clean,0,0.0,-0.06573558
clean,0,0.0,-0.032767296
clean,0,0.0,-0.22389388
clean,0,0.0,-0.49297988
clean,0,0.0,-0.28793287
clean,0,0.0,-0.091835976
clean,0,0.0,-0.09489679
clean,0,0.0,-0.11308622
clean,0,0.0,-0.18148232
clean,0,0.0,-0.054701805
clean,0,0.0,-0.48552608
clean,0,0.0,-0.57068014
clean,0,0.0,-0.13623977
clean,0,0.0,-0.032179832
clean,0,0.0,0.030009747
clean,0,0.0,-0.041832447
clean,0,0.0,0.54671836
clean,0,0.0,-0.28907764
clean,0,0.0,0.49894357
clean,0,0.0,-0.29764557
clean,0,0.0,0.11835599
clean,0,0.0,-0.20749044
clean,0,0.0,-0.115083694
clean,0,0.0,-0.3768803
clean,0,0.0,-0.3486266
clean,0,0.0,-0.27765512
clean,0,0.0,-0.03589773
clean,0,0.0,-0.01241684
clean,0,0.0,0.10343981
clean,0,0.0,-0.0026607513
clean,0,0.0,-0.19739914
clean,0,0.0,-0.62261534
clean,0,0.0,-0.22337985
clean,0,0.0,0.11971331
clean,0,0.0,-0.27122355
clean,0,0.0,-0.4398508
clean,0,0.0,2.03917
clean,0,0.0,1.6197739
clean,0,0.0,2.9055824
clean,0,0.0,2.089275
clean,0,0.0,2.3046224
clean,0,0.0,1.5912704
clean,0,0.0,1.811871
clean,0,0.0,1.7661858
clean,0,0.0,1.6246526
clean,0,0.0,-0.9985287
clean,0,0.0,2.748282
clean,0,0.0,2.4946337
clean,0,0.0,2.1445978
clean,0,0.0,0.016114712
clean,0,0.0,2.075458
clean,0,0.0,2.8795562
clean,0,0.0,1.7222373
clean,0,0.0,2.557704
clean,0,0.0,2.1637096
clean,0,0.0,1.339684
clean,0,0.0,2.0278857
clean,0,0.0,1.7352777
clean,0,0.0,2.3099818
clean,0,0.0,1.5483508
clean,0,0.0,1.7961457
clean,0,0.0,0.93184376
clean,0,0.0,2.1183805
clean,0,0.0,1.1819215
clean,0,0.0,1.8479419
clean,0,0.0,3.6179054
clean,0,0.0,2.5139265
clean,0,0.0,1.8017122
clean,0,0.0,2.8324018
clean,0,0.0,2.25562
clean,0,0.0,2.3683283
clean,0,0.0,2.0992208
clean,0,0.0,2.7746239
clean,0,0.0,2.428883
clean,0,0.0,1.3241267
clean,0,0.0,2.772914
clean,0,0.0,2.880507
clean,0,0.0,1.9183874
clean,0,0.0,1.5921164
clean,0,0.0,2.4434175
clean,0,0.0,2.8107781
clean,0,0.0,1.905097
clean,0,0.0,1.2142015
clean,0,0.0,1.4144325
clean,0,0.0,2.3378363
clean,0,0.0,2.2063935
clean,0,0.0,2.1254165
clean,0,0.0,1.9483037
clean,0,0.0,1.7348299
clean,0,0.0,2.3355994
clean,0,0.0,1.6981232
clean,0,0.0,2.3724694
clean,0,0.0,2.689342
clean,0,0.0,0.93378425
clean,0,0.0,1.336659
clean,0,0.0,1.4423985
clean,0,0.0,2.153269
clean,0,0.0,2.609386
clean,0,0.0,1.9704189
clean,0,0.0,1.8094096
clean,0,0.0,2.5094142
clean,0,0.0,2.0160422
clean,0,0.0,2.8337603
clean,0,0.0,1.9830813
clean,0,0.0,2.2030442
clean,0,0.0,2.4589014
clean,0,0.0,3.1762898
clean,0,0.0,2.2825155
clean,0,0.0,1.4374347
clean,0,0.0,1.1456206
clean,0,0.0,2.18979
