condition,band_idx,r_min,logit_drop
clean,0,0.0,-0.00022602081
clean,0,0.0,0.29316998
clean,0,0.0,0.2109437
clean,0,0.0,-0.21045828
clean,0,0.0,0.26005793
clean,0,0.0,-0.10462856
clean,0,0.0,0.37907934
clean,0,0.0,-0.04576111
clean,0,0.0,-0.68180466
clean,0,0.0,0.55345774
clean,0,0.0,0.20348787
clean,0,0.0,-0.029808998
clean,0,0.0,0.5766065
clean,0,0.0,0.52589893
clean,0,0.0,-0.32039738
clean,0,0.0,-0.12318468
clean,0,0.0,0.57365847
clean,0,0.0,0.23773456
clean,0,0.0,-0.15264225
clean,0,0.0,0.19855618
clean,0,0.0,0.37965727
clean,0,0.0,0.19846535
clean,0,0.0,0.47781134
clean,0,0.0,0.58323526
clean,0,0.0,0.3841424
clean,0,0.0,-0.16976213
clean,0,0.0,0.22417879
clean,0,0.0,0.20338798
clean,0,0.0,-0.013889313
clean,0,0.0,-0.14771843
clean,0,0.0,-0.6193311
clean,0,0.0,-0.2690792
clean,0,0.0,0.029278278
clean,0,0.0,-0.07702398
clean,0,0.0,0.5243192
clean,0,0.0,-0.22663617
clean,0,0.0,0.14014268
clean,0,0.0,-0.38063192
clean,0,0.0,-0.39214778
clean,0,0.0,-0.46135974
clean,0,0.0,-0.13745022
clean,0,0.0,-0.13796926
clean,0,0.0,-0.1368277
clean,0,0.0,-0.22194338
clean,0,0.0,0.000313282
clean,0,0.0,0.16982532
clean,0,0.0,0.15094423
clean,0,0.0,-0.4540373
clean,0,0.0,-0.10519838
clean,0,0.0,-0.04406929
clean,0,0.0,-0.25112963
clean,0,0.0,-0.42390537
clean,0,0.0,-0.5260935
clean,0,0.0,-0.1879679
clean,0,0.0,-0.27469444
clean,0,0.0,-0.2476151
clean,0,0.0,0.13369513
clean,0,0.0,-0.08839476
clean,0,0.0,-0.8403661
clean,0,0.0,-0.00024986267
clean,0,0.0,-0.32664967
clean,0,0.0,0.079628944
clean,0,0.0,-0.103127
clean,0,0.0,-0.36724687
clean,0,0.0,0.5178411
clean,0,0.0,-0.34845114
clean,0,0.0,-0.30893373
clean,0,0.0,-0.5728762
clean,0,0.0,-0.6912434
clean,0,0.0,-0.032181263
clean,0,0.0,-0.047402143
clean,0,0.0,-0.39520454
clean,0,0.0,-0.44271255
clean,0,0.0,-0.24358082
clean,0,0.0,-0.22677135
clean,0,0.0,-0.09396672
clean,0,0.0,-0.37696767
clean,0,0.0,0.050750732
clean,0,0.0,-0.34518492
clean,0,0.0,0.20670152
clean,0,0.0,-0.2889769
clean,0,0.0,0.11117792
clean,0,0.0,-0.036101818
clean,0,0.0,-0.13799477
clean,0,0.0,0.23902035
clean,0,0.0,-0.5711951
clean,0,0.0,-0.038832426
clean,0,0.0,-0.39426327
clean,0,0.0,0.038836956
clean,0,0.0,-0.025307178
clean,0,0.0,0.101114035
clean,0,0.0,-0.43279254
clean,0,0.0,0.1809578
clean,0,0.0,0.1283536
clean,0,0.0,0.118370056
clean,0,0.0,-0.3227923
clean,0,0.0,0.22099328
clean,0,0.0,-0.27646542
clean,0,0.0,0.087935925
clean,0,0.0,-0.041657448
clean,0,0.0,-0.2945261
clean,0,0.0,-0.22530842
clean,0,0.0,0.12800694
clean,0,0.0,-0.0024909973
clean,0,0.0,-0.24905205
clean,0,0.0,0.07144737
clean,0,0.0,0.31486893
clean,0,0.0,0.42895055
clean,0,0.0,-0.19143248
clean,0,0.0,-0.033784866
clean,0,0.0,-0.4725032
clean,0,0.0,-0.45523858
clean,0,0.0,-0.17023242
clean,0,0.0,-0.2701409
clean,0,0.0,-0.26759768
clean,0,0.0,0.30801964
clean,0,0.0,-0.28263187
clean,0,0.0,-0.4083302
clean,0,0.0,-0.38116074
clean,0,0.0,0.011302233
clean,0,0.0,-0.35730553
clean,0,0.0,0.17820215
clean,0,0.0,-0.4821787
clean,0,0.0,-0.039049625
clean,0,0.0,-0.23859549
clean,0,0.0,-0.24000621
clean,0,0.0,-0.18047476
clean,0,0.0,-0.15872908
clean,0,0.0,0.36863232
clean,0,0.0,2.170158
clean,0,0.0,2.4846187
clean,0,0.0,1.6600075
clean,0,0.0,3.5013852
clean,0,0.0,1.6266665
clean,0,0.0,2.9714322
clean,0,0.0,2.67866
clean,0,0.0,1.1710486
clean,0,0.0,2.8317688
clean,0,0.0,2.1781747
clean,0,0.0,1.8768158
clean,0,0.0,2.417261
clean,0,0.0,1.677206
clean,0,0.0,3.3296242
clean,0,0.0,2.18466
clean,0,0.0,2.0301323
clean,0,0.0,2.7408419
clean,0,0.0,2.432006
clean,0,0.0,2.153524
clean,0,0.0,2.9008045
clean,0,0.0,2.0316062
clean,0,0.0,2.5949435
clean,0,0.0,2.2028813
clean,0,0.0,2.6733906
clean,0,0.0,2.5217664
clean,0,0.0,2.161663
clean,0,0.0,1.7803266
clean,0,0.0,1.7814803
clean,0,0.0,1.3434467
clean,0,0.0,2.614974
clean,0,0.0,2.8647895
clean,0,0.0,2.244329
clean,0,0.0,3.3985374
clean,0,0.0,1.7343712
clean,0,0.0,1.7247925
clean,0,0.0,1.5605493
clean,0,0.0,2.1507998
clean,0,0.0,2.3221493
clean,0,0.0,3.6753156
clean,0,0.0,1.5816903
clean,0,0.0,1.2779098
clean,0,0.0,1.4319882
clean,0,0.0,1.1824498
clean,0,0.0,1.4660354
clean,0,0.0,2.8497667
clean,0,0.0,1.6276231
clean,0,0.0,3.297122
clean,0,0.0,1.9759445
clean,0,0.0,2.6323838
